algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
RandomForestClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,201.39999850000004,1969.421875,0.6954396262321724,0.71875,0.8545209980689906,"[[  0   0   0   2   0   0]
 [  0   0   5   6   0   0]
 [  0   0 119  17   0   0]
 [  0   0  31  91   6   0]
 [  0   0   3  17  20   0]
 [  0   0   0   1   2   0]]"
RandomForestClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'citric acid', 'volatile acidity', 'fixed acidity')",8,78.2677147000004,2502.80078125,0.6911456363593816,0.7125,0.8523254698881042,"[[  0   0   0   2   0   0]
 [  0   0   6   5   0   0]
 [  0   0 116  20   0   0]
 [  0   0  32  90   6   0]
 [  0   0   2  16  22   0]
 [  0   0   0   2   1   0]]"
RandomForestClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'volatile acidity', 'fixed acidity')",7,68.92572979999932,2677.00390625,0.6859733992467042,0.70625,0.8556750738665414,"[[  0   0   0   2   0   0]
 [  0   0   6   5   0   0]
 [  0   0 116  20   0   0]
 [  0   0  34  87   7   0]
 [  0   0   3  13  23   1]
 [  0   0   0   1   2   0]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', HistGradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              l...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('sulphates', 'pH', 'density', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",8,1934.4067515999996,2417.51171875,0.6789539519679534,0.7,0.8603119750592054,"[[  0   0   1   1   0   0]
 [  0   0   6   5   0   0]
 [  0   0 114  22   0   0]
 [  0   0  34  88   6   0]
 [  0   0   4  14  22   0]
 [  0   0   0   2   1   0]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', HistGradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              l...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,2083.8419279000004,2202.2421875,0.6757267583650376,0.696875,0.8631897328035963,"[[  0   0   0   2   0   0]
 [  0   0   7   4   0   0]
 [  0   0 112  24   0   0]
 [  0   0  30  91   7   0]
 [  0   0   3  17  20   0]
 [  0   0   0   2   1   0]]"
RandomForestClassifier(n_jobs=-1),"('sulphates', 'pH', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",8,76.93511519999993,2585.7265625,0.6745325854700854,0.69375,0.86380322095939,"[[  0   0   1   1   0   0]
 [  0   0   6   4   1   0]
 [  0   0 113  23   0   0]
 [  0   1  30  87  10   0]
 [  0   0   2  16  22   0]
 [  0   0   0   1   2   0]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            lea...te=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,391.1961993,2145.8125,0.6678565653665255,0.6875,0.859782131965385,"[[  0   0   0   2   0   0]
 [  0   0   6   5   0   0]
 [  0   0 116  20   0   0]
 [  0   2  36  81   9   0]
 [  0   0   3  14  23   0]
 [  0   0   0   1   2   0]]"
HistGradientBoostingClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'citric acid', 'volatile acidity', 'fixed acidity')",7,338.4450194000001,2133.76171875,0.6666236559139785,0.6875,0.836852505664219,"[[  0   0   0   2   0   0]
 [  0   0   7   4   0   0]
 [  0   0 116  20   0   0]
 [  0   0  37  81   9   1]
 [  0   0   4  13  23   0]
 [  0   0   0   0   3   0]]"
RandomForestClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",8,103.91801459999988,2630.4296875,0.6657716771890001,0.684375,0.8487831598704009,"[[  0   1   0   1   0   0]
 [  0   0   7   4   0   0]
 [  0   0 113  22   1   0]
 [  0   1  37  83   7   0]
 [  0   0   3  14  23   0]
 [  0   0   0   2   1   0]]"
"XGBClassifier(base_score=None, booster=None, colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None,
              enable_categorical=False, eval_metric='mlogloss', gamma=None,
              gpu_id=None, importance_type=None, interaction_constraints=None,
              learning_rate=None, max_delta_step=None, max_depth=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, reg_alpha=None,
              reg_lambda=None, scale_pos_weight=None, subsample=None,
              tree_method=None, use_label_encoder=False,
              validate_parameters=None, verbosity=None)","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,384.94391889999997,2170.46875,0.6633161976911978,0.684375,0.8436034058737617,"[[  0   0   1   1   0   0]
 [  0   0   7   4   0   0]
 [  0   1 114  21   0   0]
 [  0   0  35  85   8   0]
 [  0   0   4  16  20   0]
 [  0   0   0   1   2   0]]"
